movieId,UMAP1,UMAP2,UMAP3,cluster
619,4.0547423,3.9959016,3.327423,1
33826,7.0967393,4.9033413,2.7121649,2
1298,5.8669243,6.846243,3.1153731,2
140289,5.573941,4.8638825,3.989753,2
3064,3.618274,5.746211,4.3526716,0
2868,5.0966573,3.5696251,4.09109,1
27826,5.243566,5.8500867,4.490718,2
1950,7.7693844,4.766326,4.046288,2
27802,6.060042,2.9766927,2.814557,1
7149,5.2432356,3.3555288,3.5921195,1
4334,2.3407092,4.902748,3.4056532,0
39234,8.044991,5.1316085,3.9446468,2
5562,1.7744763,3.7690475,3.8450606,1
6678,2.9585543,6.935433,4.489654,0
5313,3.4959586,3.921033,1.9099298,1
7205,2.3434904,2.6297815,4.079508,1
573,6.9743643,6.271544,4.2675657,2
5849,3.8047583,2.947766,4.1923957,1
3075,4.43341,2.3950474,3.681835,1
5619,5.304421,4.323991,5.0713515,2
4133,4.728586,3.8811183,2.9478471,1
179,3.531115,5.6191983,4.50746,0
5364,5.7452445,3.9754734,5.1243005,2
912,5.539093,6.7235093,2.7057304,2
2333,6.2550054,5.8845773,2.1619937,2
198,6.387479,7.1478357,3.2779744,2
7010,3.1713872,7.33184,4.5903277,0
6405,4.404329,2.9226887,2.1520073,1
3833,6.960086,4.969932,2.599038,2
107141,7.9272337,6.39862,3.5907147,2
4610,3.686342,5.3815403,1.7434438,0
3857,4.1563106,4.651673,2.5569966,0
26133,3.518621,6.372204,1.5909579,0
161634,4.7655406,6.2530727,4.732056,0
51086,4.0130734,5.568621,2.468657,0
4975,7.1590805,6.6140547,3.6339197,2
27604,5.8045206,5.3044963,1.4502215,2
3019,4.588481,5.2557545,4.2692795,0
56788,5.7664275,4.0644145,3.3626103,2
8984,6.6272354,5.2357693,2.7645583,2
161354,4.398071,6.764232,3.001961,0
26242,3.2317548,2.0156288,4.4946294,1
66198,4.909221,2.95993,3.934816,1
27627,4.8062134,3.178847,4.1449523,1
58105,3.5195358,5.5489173,5.0101957,0
73344,5.7925625,6.766902,3.1566312,2
